Universitas,Prodi,Rank,text
politeknik aisyiyah pontianak,teknologi laboratorium medis,999.0,Medical Laboratory Technology
institut teknologi kesehatan cendekia utama kudus,keperawatan,999.0,nursing
akademi analis kesehatan malang,teknologi laboratorium medis,999.0,Medical Laboratory Technology
universitas sebelas maret,pendidikan bahasa dan sastra indonesia,13.0,Indonesian language and literature education
universitas islam negeri datokarama palu,manajemen pendidikan islam,999.0,Management of Islamic Education
universitas islam negeri fatmawati sukarno bengkulu,pendidikan agama islam,999.0,Islamic Religious Education
sekolah tinggi ilmu tarbiyah al wasi kaur,pendidikan agama islam,999.0,Islamic Religious Education
universitas islam an nur lampung,tadris bahasa inggris,999.0,English Tadris
universitas respati indonesia,kebidanan,999.0,midwifery
universitas ngudi waluyo,keperawatan,999.0,nursing
universitas mandala waluya,teknologi laboratorium medis,999.0,Medical Laboratory Technology
universitas islam mulia yogyakarta,kebidanan,999.0,midwifery
universitas hang tuah pekanbaru,rekam medik dan informasi kesehatan,999.0,medical records and health information
sekolah tinggi ilmu kesehatan sumber waras,administrasi kesehatan,999.0,Health administration
sekolah tinggi ilmu kesehatan sumber waras,keperawatan,999.0,nursing
sekolah tinggi ilmu kesehatan akbidyo,kebidanan,999.0,midwifery
politeknik kesehatan kementerian kesehatan pontianak,gizi,999.0,Nutrition
politeknik kesehatan kementerian kesehatan palangkaraya,keperawatan,999.0,nursing
politeknik kesehatan kementerian kesehatan aceh,teknologi laboratorium medis,999.0,Medical Laboratory Technology
politeknik kesehatan bhakti mulia,rekam medik dan informasi kesehatan,999.0,medical records and health information
universitas kristen wira wacana sumba,ekonomi pembangunan,999.0,economic development
politeknik ykpn,akuntansi,999.0,accountancy
akademi akuntansi indonesia padang,akuntansi,999.0,accountancy
universitas syiah kuala,ilmu keperawatan,23.0,nursing Science
universitas muhammadiyah ponorogo,kebidanan,999.0,midwifery
universitas muhammadiyah pekajangan pekalongan,keperawatan,999.0,nursing
universitas lambung mangkurat,keperawatan,999.0,nursing
universitas islam negeri maulana malik ibrahim malang,pendidikan dokter,999.0,doctor's education
universitas galuh,keperawatan,999.0,nursing
universitas dr soebandi,kebidanan,999.0,midwifery
universitas cokroaminoto makassar,kebidanan,999.0,midwifery
universitas cenderawasih,ilmu keperawatan,999.0,nursing Science
universitas abulyatama,kebidanan,999.0,midwifery
universitas aisyiyah bandung,ilmu keperawatan,999.0,nursing Science
sekolah tinggi ilmu kesehatan yapika makassar,ilmu keperawatan,999.0,nursing Science
sekolah tinggi ilmu kesehatan patriot bangsa lampung,administrasi kesehatan,999.0,Health administration
politeknik kesehatan kementerian kesehatan tasikmalaya,kebidanan,999.0,midwifery
politeknik kesehatan kementerian kesehatan tasikmalaya,kebidanan,999.0,midwifery
politeknik kesehatan kementerian kesehatan tasikmalaya,keperawatan,999.0,nursing
politeknik kesehatan kementerian kesehatan tasikmalaya,kebidanan,999.0,midwifery
politeknik kesehatan kementerian kesehatan tasikmalaya,keperawatan,999.0,nursing
politeknik kesehatan kementerian kesehatan sorong,kebidanan,999.0,midwifery
politeknik kesehatan kementerian kesehatan pontianak,keperawatan,999.0,nursing
akademi kebidanan bakti indonesia bogor,kebidanan,999.0,midwifery
universitas islam syarifuddin lumajang,pendidikan agama islam,999.0,Islamic Religious Education
universitas islam syarifuddin lumajang,pendidikan guru madrasah ibtidaiyah,999.0,Madrasah Ibtidaiyah Teacher Education
sekolah tinggi agama islam darud dakwah wal irsyad maros,pendidikan agama islam,999.0,Islamic Religious Education
sekolah tinggi ilmu tarbiyah nur ahadiyah,pendidikan agama islam,999.0,Islamic Religious Education
sekolah tinggi agama islam sayid sabiq indramayu,pendidikan agama islam,999.0,Islamic Religious Education
universitas negeri yogyakarta,pendidikan pancasila dan kewarganegaraan,19.0,Pancasila and civic education
universitas muhammadiyah sidenreng rappang,pendidikan vokasional seni kuliner,999.0,Culinary Art Vocational Education
sekolah tinggi agama islam riyadhul jannah subang,pendidikan islam anak usia dini,999.0,Early Childhood Islamic Education
sekolah tinggi ilmu tarbiyah muhammadiyah bangil,pendidikan agama islam,999.0,Islamic Religious Education
sekolah tinggi agama islam morowali,pendidikan agama islam,999.0,Islamic Religious Education
sekolah tinggi teologi siloam medan,pendidikan agama kristen,999.0,Christian Religious Education
universitas iskandar muda,pendidikan bahasa inggris,999.0,English language education
universitas hasyim asyari tebuireng jombang,pendidikan bahasa dan sastra indonesia,999.0,Indonesian language and literature education
universitas tribuana kalabahi,pendidikan teologi,999.0,Theological education
universitas pgri palembang,pendidikan matematika,999.0,Mathematics education
institut agama islam arrisalah inhil riau,pendidikan islam anak usia dini,999.0,Early Childhood Islamic Education
universitas trunojoyo,pendidikan ilmu pengetahuan alam,999.0,NATURAL SCIENCE EDUCATION
universitas islam negeri sunan gunung djati,pendidikan kimia,999.0,Chemical education
universitas pelita harapan,pendidikan bahasa inggris,999.0,English language education
universitas nahdlatul ulama cirebon,pendidikan guru sekolah dasar,999.0,primary teacher education
sekolah tinggi agama islam raudhatul akmal,pendidikan islam anak usia dini,999.0,Early Childhood Islamic Education
institut agama hindu negeri tampung penyang palangka raya,pendidikan seni dan keagamaan,999.0,Art and Religious Education
universitas pamulang,pendidikan ekonomi,999.0,Economic Education
universitas negeri medan,pendidikan tata boga,999.0,Catering Education
universitas pgri madiun,pendidikan matematika,999.0,Mathematics education
universitas negeri malang,pendidikan seni rupa,22.0,Fine Arts Education
sekolah tinggi ilmu tarbiyah darul ishlah,manajemen pendidikan islam,999.0,Management of Islamic Education
sekolah tinggi agama islam paduka anambas,pendidikan agama islam,999.0,Islamic Religious Education
universitas khairun,pendidikan kimia,999.0,Chemical education
universitas islam negeri alauddin makassar,pendidikan guru madrasah ibtidaiyah,999.0,Madrasah Ibtidaiyah Teacher Education
universitas islam indonesia,pendidikan agama islam,25.0,Islamic Religious Education
sekolah tinggi agama islam morowali,pendidikan guru madrasah ibtidaiyah,999.0,Madrasah Ibtidaiyah Teacher Education
universitas muhammadiyah bima,pendidikan islam anak usia dini,999.0,Early Childhood Islamic Education
sekolah tinggi ilmu tarbiyah ispini,pendidikan guru madrasah ibtidaiyah,999.0,Madrasah Ibtidaiyah Teacher Education
universitas pendidikan ganesha,pendidikan teknik mesin,999.0,Mechanical Engineering Education
universitas cenderawasih,pendidikan guru pendidikan anak usia dini,999.0,Teacher Education Early Childhood Education
universitas riau,pendidikan guru sekolah dasar,999.0,primary teacher education
universitas dwijendra,pendidikan bahasa indonesia,999.0,Indonesian Language Education
sekolah tinggi agama islam babunnajah pandeglang,pendidikan agama islam,999.0,Islamic Religious Education
universitas muhammadiyah makassar,pendidikan bahasa arab,999.0,Arabic education
universitas hkbp nommensen,pendidikan ekonomi,999.0,Economic Education
universitas negeri jakarta,pendidikan ekonomi,999.0,Economic Education
universitas jambi,pendidikan guru pendidikan anak usia dini,999.0,Teacher Education Early Childhood Education
universitas islam negeri salatiga,tadris bahasa inggris,999.0,English Tadris
institut agama islam latifah mubarokiyah suryalaya tasikmalaya,pendidikan islam anak usia dini,999.0,Early Childhood Islamic Education
universitas islam negeri syekh ali hasan ahmad addary padangsidimpuan,pendidikan guru madrasah ibtidaiyah,999.0,Madrasah Ibtidaiyah Teacher Education
universitas pgri madiun,pendidikan guru sekolah dasar,999.0,primary teacher education
institut agama islam negeri ponorogo,tadris matematika,999.0,Tadris Mathematics
universitas islam negeri sultan maulana hasanuddin banten,bimbingan dan konseling pendidikan islam,999.0,Islamic education guidance and counseling
sekolah tinggi keguruan dan ilmu pendidikan pgri sumenep,pendidikan bahasa dan sastra indonesia,999.0,Indonesian language and literature education
universitas kristen satya wacana,pendidikan sejarah,999.0,Historical Education
universitas muhammadiyah sumatera utara,pendidikan bahasa inggris,999.0,English language education
universitas pancasakti tegal,pendidikan pancasila dan kewarganegaraan,999.0,Pancasila and civic education
institut agama islam almuslim aceh,pendidikan agama islam,999.0,Islamic Religious Education
universitas yudharta pasuruan,pendidikan agama islam,999.0,Islamic Religious Education
institut agama islam negeri langsa,pendidikan guru madrasah ibtidaiyah,999.0,Madrasah Ibtidaiyah Teacher Education
universitas muhammadiyah pringsewu lampung,pendidikan matematika,999.0,Mathematics education
sekolah tinggi agama islam ypiq baubau,pendidikan agama islam,999.0,Islamic Religious Education
sekolah tinggi agama islam imam bukhori bulukumba,pendidikan agama islam,999.0,Islamic Religious Education
universitas muhammadiyah sorong,pendidikan guru sekolah dasar,999.0,primary teacher education
universitas islam negeri sayyid ali rahmatullah tulungagung,tadris fisika,999.0,Tadris Physics
universitas kh mukhtar syafaat,tadris matematika,999.0,Tadris Mathematics
universitas negeri yogyakarta,pendidikan fisika,19.0,Physics Education
universitas negeri jakarta,pendidikan sejarah,999.0,Historical Education
universitas negeri semarang,pendidikan ekonomi,999.0,Economic Education
universitas hasyim asyari tebuireng jombang,pendidikan guru sekolah dasar,999.0,primary teacher education
universitas pgri semarang,pendidikan teknologi informasi,999.0,Information Technology Education
universitas jambi,pendidikan bahasa inggris,999.0,English language education
universitas islam negeri antasari banjarmasin,tadris bahasa inggris,999.0,English Tadris
sekolah tinggi agama islam shalahuddin alayyubi jakarta utara,manajemen pendidikan islam,999.0,Management of Islamic Education
institut agama islam negeri madura,manajemen pendidikan islam,999.0,Management of Islamic Education
institut agama islam negeri sorong,tadris ilmu pengetahuan alam,999.0,Tadris Natural Sciences
universitas jabal ghafur,pendidikan bahasa inggris,999.0,English language education
universitas islam negeri sunan gunung djati,pendidikan fisika,999.0,Physics Education
universitas islam negeri walisongo semarang,pendidikan guru madrasah ibtidaiyah,999.0,Madrasah Ibtidaiyah Teacher Education
sekolah tinggi agama kristen bina muda wirawan wonogiri,pendidikan agama kristen,999.0,Christian Religious Education
universitas alamien prenduan,pendidikan bahasa arab,999.0,Arabic education
institut agama islam tasikmalaya,bimbingan dan konseling pendidikan islam,999.0,Islamic education guidance and counseling
sekolah tinggi katolik santo yakobus merauke,pendidikan guru sekolah dasar,999.0,primary teacher education
sekolah tinggi agama kristen sabda holistik,pendidikan agama kristen,999.0,Christian Religious Education
universitas nusa cendana,fisika,999.0,physics
universitas nusa nipa,kewirausahaan,999.0,entrepreneurship
universitas satu,manajemen,999.0,management
universitas siliwangi,manajemen,999.0,management
universitas lampung,ekonomi pembangunan,999.0,economic development
universitas balikpapan,manajemen,999.0,management
universitas nias,manajemen,999.0,management
sekolah tinggi ilmu ekonomi lpi makassar,akuntansi,999.0,accountancy
politeknik negeri tanah laut,akuntansi perpajakan,999.0,Tax Accounting
universitas jember,ekonomi syariah,999.0,Islamic economy
universitas tridinanti,manajemen,999.0,management
universitas doktor husni ingratubun tual,akuntansi,999.0,accountancy
sekolah tinggi ekonomi dan bisnis islam syaikhona kholil sidogiri pasuruan,ekonomi syariah,999.0,Islamic economy
universitas riau,keperawatan,999.0,nursing
universitas muhammadiyah mataram,kebidanan,999.0,midwifery
universitas airlangga,keperawatan,4.0,nursing
sekolah tinggi ilmu kesehatan tri mandiri sakti bengkulu,kebidanan,999.0,midwifery
sekolah tinggi ilmu kesehatan siti khadijah,ilmu keperawatan,999.0,nursing Science
sekolah tinggi ilmu kesehatan pertamedika,teknik radiodiagnostik dan radioterapi,999.0,radiodiagnostic and radiotherapy techniques
sekolah tinggi ilmu kesehatan nasional,farmasi,999.0,Pharmacy
sekolah tinggi ilmu kesehatan mutiara mahakam samarinda,keselamatan dan kesehatan kerja,999.0,occupational Health and Safety
sekolah tinggi ilmu kesehatan bhakti mulia,keselamatan dan kesehatan kerja,999.0,occupational Health and Safety
sekolah tinggi ilmu farmasi yayasan pharmasi,farmasi,999.0,Pharmacy
sekolah tinggi ilmu farmasi yayasan pharmasi,analis farmasi dan makanan,999.0,pharmacy and food analyst
politeknik tiara bunda,keperawatan anestesiologi,999.0,Anesthesiology Nursing
politeknik kesehatan kementerian kesehatan palembang,keperawatan,999.0,nursing
politeknik kesehatan kementerian kesehatan manado,gizi,999.0,Nutrition
politeknik kesehatan kementerian kesehatan malang,keperawatan,999.0,nursing
sekolah tinggi ilmu kesehatan marendeng majene,kebidanan,999.0,midwifery
sekolah tinggi ilmu kesehatan borneo cendekia medika,keperawatan,999.0,nursing
politeknik kesehatan kementerian kesehatan medan,sanitasi,999.0,sanitation
institut kesehatan immanuel,ilmu keperawatan,999.0,nursing Science
universitas palangka raya,teknologi laboratorium medis,999.0,Medical Laboratory Technology
universitas mandala waluya,kesehatan masyarakat,999.0,public health
universitas mahasaraswati denpasar,farmasi,999.0,Pharmacy
universitas indonesia maju,farmasi,999.0,Pharmacy
universitas alirsyad cilacap,farmasi,999.0,Pharmacy
sekolah tinggi ilmu kesehatan pekanbaru medical center,kebidanan,999.0,midwifery
sekolah tinggi ilmu kesehatan mitra keluarga,keperawatan,999.0,nursing
politeknik kesehatan kementerian kesehatan palangkaraya,kebidanan,999.0,midwifery
politeknik kesehatan kementerian kesehatan gorontalo,farmasi,999.0,Pharmacy
politekknik kesehatan kementerian kesehatan riau,gizi,999.0,Nutrition
universitas bina mandiri gorontalo,administrasi rumah sakit,999.0,hospital administration
sekolah tinggi ilmu kesehatan bina bangsa majene,kesehatan masyarakat,999.0,public health
politeknik kesehatan kementerian kesehatan yogyakarta,keperawatan anestesiologi,999.0,Anesthesiology Nursing
politeknik kesehatan kementerian kesehatan kupang,keperawatan,999.0,nursing
politeknik kesehatan kementerian kesehatan aceh,gizi,999.0,Nutrition
politeknik cendrawasih palu,teknologi laboratorium medis,999.0,Medical Laboratory Technology
universitas strada indonesia,kebidanan,999.0,midwifery
sekolah tinggi farmasi mahaganesha,farmasi,999.0,Pharmacy
politeknik kesehatan kementerian kesehatan palu,sanitasi,999.0,sanitation
politeknik kesehatan kementerian kesehatan gorontalo,kebidanan,999.0,midwifery
universitas pahlawan tuanku tambusai,kebidanan,999.0,midwifery
universitas muhammadiyah lamongan,kebidanan,999.0,midwifery
sekolah tinggi ilmu kesehatan wira medika bali,keperawatan,999.0,nursing
sekolah tinggi ilmu kesehatan insan se agung,kebidanan,999.0,midwifery
politeknik kesehatan kementerian kesehatan gorontalo,gizi,999.0,Nutrition
institut kesehatan deli husada deli tua,kedokteran,999.0,medical
universitas negeri padang,kedokteran hewan,21.0,Veterinary Medicine
universitas muhammadiyah metro,kedokteran,999.0,medical
universitas mega buana palopo,kedokteran gigi,999.0,dentistry
universitas indo global mandiri,kedokteran,999.0,medical
universitas dr soetomo,kebidanan,999.0,midwifery
universitas dian nuswantoro,manajemen informasi kesehatan,999.0,Health Information Management
sekolah tinggi ilmu kesehatan st elisabeth keuskupan maumere,fisioterapi,999.0,physiotherapy
sekolah tinggi ilmu kesehatan pgi cikini,keselamatan dan kesehatan kerja,999.0,occupational Health and Safety
sekolah tinggi ilmu kesehatan bethesda tomohon,keperawatan,999.0,nursing
politeknik muhammadiyah makassar,teknologi radiologi pencitraan,999.0,Imaging radiology technology
akademi teknik radiologi dr adji saptogino,teknologi radiologi pencitraan,999.0,Imaging radiology technology
universitas negeri semarang,gizi,999.0,Nutrition
universitas negeri padang,kedokteran,21.0,medical
universitas hasanuddin,kedokteran hewan,11.0,Veterinary Medicine
universitas hang tuah pekanbaru,kebidanan,999.0,midwifery
sekolah tinggi ilmu kesehatan rajekwesi bojonegoro,kebidanan,999.0,midwifery
politeknik kesehatan kementerian kesehatan yogyakarta,keperawatan,999.0,nursing
politeknik kesehatan kementerian kesehatan jakarta i,kebidanan,999.0,midwifery
politeknik kesehatan kementerian kesehatan jakarta i,keperawatan,999.0,nursing
politekknik kesehatan kementerian kesehatan riau,kebidanan,999.0,midwifery
akademi kesehatan arga husada,fisioterapi,999.0,physiotherapy
akademi farmasi prayoga padang,farmasi,999.0,Pharmacy
universitas siliwangi,akuntansi,999.0,accountancy
universitas pamulang,administrasi perkantoran,999.0,office administration
universitas nahdlatul ulama purwokerto,manajemen,999.0,management
stai raudhatul akmal,ekonomi syariah,999.0,Islamic economy
universitas pignatelli triputra,manajemen,999.0,management
sekolah tinggi ilmu ekonomi jambi,manajemen,999.0,management
universitas teknologi bandung,bisnis digital,999.0,digital business
institut agama islam negeri kerinci,manajemen bisnis syariah,999.0,Sharia Business Management
politeknik sukabumi,administrasi bisnis,999.0,business Administration
universitas muhammadiyah sinjai,bisnis digital,999.0,digital business
politeknik kesehatan kementerian kesehatan gorontalo,keperawatan,999.0,nursing
universitas 17 agustus 1945 cirebon,manajemen,999.0,management
universitas nusa bangsa,akuntansi,999.0,accountancy
universitas muhammadiyah aceh,akuntansi,999.0,accountancy
universitas cendekia mitra indonesia,manajemen,999.0,management
sekolah tinggi ilmu ekonomi sutaatmadja,manajemen,999.0,management
universitas masoem,komputerisasi akuntansi,999.0,computerized accounting
universitas muslim nusantara alwashliyah,akuntansi,999.0,accountancy
universitas doktor husni ingratubun tual,manajemen,999.0,management
sekolah tinggi ilmu ekonomi bina karya,manajemen,999.0,management
institut keuanganperbankan dan informatika asia perbanas,manajemen,999.0,management
universitas wijayakusuma purwokerto,manajemen,999.0,management
universitas 17 agustus 1945 jakarta,bisnis digital,999.0,digital business
universitas sumatera utara,ekonomi pembangunan,14.0,economic development
sekolah tinggi ekonomi dan bisnis islam al jabar bandung jawa barat,ekonomi syariah,999.0,Islamic economy
politeknik cristo re,ekowisata,999.0,ecotourism
universitas islam negeri sayyid ali rahmatullah tulungagung,ekonomi syariah,999.0,Islamic economy
universitas sali alaitaam,kewirausahaan,999.0,entrepreneurship
politeknik semen indonesia,administrasi perkantoran,999.0,office administration
institut teknologi statistika dan bisnis muhammadiyah semarang,manajemen ritel,999.0,retail management
universitas tunas pembangunan surakarta,akuntansi,999.0,accountancy
stai nida el adabi parung panjang bogor,ekonomi syariah,999.0,Islamic economy
sekolah tinggi ilmu ekonomi palangka raya,ekonomi pembangunan,999.0,economic development
politeknik bina madani,akuntansi,999.0,accountancy
universitas aisyah pringsewu,gizi,999.0,Nutrition
politeknik kesehatan kementerian kesehatan bengkulu,kebidanan,999.0,midwifery
institut teknologi bacharuddin jusuf habibie,teknik robotik dan kecerdasan buatan,999.0,robotic techniques and artificial intelligence
institut teknologi bacharuddin jusuf habibie,teknik perkapalan,999.0,shipping technique
universitas presiden,agribisnis,999.0,agribusiness
sekolah tinggi ekonomi dan bisnis syariah indo global mandiri,hukum ekonomi syariah,999.0,Islamic economic law
institut agama islam riyadlatul mujahidin ngabar ponorogo,hukum keluarga islam,999.0,Islamic family law
universitas telkom,desain komunikasi visual,999.0,visual communication design
institut teknologi dan bisnis nusantara,agribisnis,999.0,agribusiness
universitas lakidende unaaha,agribisnis,999.0,agribusiness
universitas muria kudus,agribisnis,999.0,agribusiness
institut seni indonesia denpasar,animasi,999.0,animation
universitas gadjah mada,bahasa jepang untuk komunikasi bisnis dan profesional,2.0,Japanese for business and professional communication
universitas negeri yogyakarta,ilmu hukum,19.0,Legal studies
universitas baturaja,hukum bisnis,999.0,Business Law
akademi komunitas peternakan jorong,pengembangbiakan sapi,999.0,Cow breeding
institut teknologi dan sains padang lawas utara,peternakan,999.0,farm
institut agama islam nahdlatul ulama tuban,psikologi islam,999.0,Islamic psychology
universitas mayjen sungkono,agribisnis,999.0,agribusiness
stai babunnajah pandeglang,hukum keluarga,999.0,Family law
universitas lakidende unaaha,administrasi publik,999.0,Public Administration
universitas doktor husni ingratubun papua,agribisnis,999.0,agribusiness
stai almusdariyah cimahi,hukum ekonomi syariah,999.0,Islamic economic law
iain palangkaraya,bimbingan konseling islam,999.0,Islamic counseling guidance
sekolah tinggi agama islam azzain sampang,hukum keluarga islam,999.0,Islamic family law
stai almusaddadiyah garut,hukum keluarga islam,999.0,Islamic family law
universitas sains indonesia,hukum,999.0,law
universitas sains indonesia,psikologi,999.0,psychology
universitas negeri padang,ilmu lingkungan,21.0,Environmental Science
universitas negeri padang,teknologi kosmetik,21.0,cosmetic technology
sekolah tinggi teologi simpson ungaran,misi dan komunikasi kristen,999.0,Christian mission and communication
politeknik maritim ami makassar,teknologi rekayasa operasi kapal,999.0,ship operating engineering technology
universitas syiah kuala,teknologi industri hasil perikanan,23.0,fishery industrial technology
akademi komunitas kelautan dan perikanan wakatobi,konservasi,999.0,conservation
universitas bina taruna gorontalo,hukum bisnis,999.0,Business Law
universitas presiden,arsitektur,999.0,architecture
politeknik bentara citra bangsa,linguistik terapan,999.0,Applied linguistics
universitas rokania,hukum,999.0,law
universitas kh bahaudin mudhary madura,hukum bisnis,999.0,Business Law
universitas kh bahaudin mudhary madura,bahasa dan kebudayaan inggris,999.0,English language and culture
universitas borneo tarakan,psikologi,999.0,psychology
universitas deztron indonesia,sastra inggris,999.0,English literature
universitas mulawarman,ilmu keolahragaan,999.0,sports science
universitas cenderawasih,planologi,999.0,Planology
universitas muhammadiyah maluku utara,ilmu pemerintahan,999.0,public administration
universitas sultan ageng tirtayasa,peternakan,999.0,farm
universitas pamulang,ilmu komunikasi,999.0,Communication Studies
universitas presiden,desain interior,999.0,Interior design
universitas djuanda,teknologi industri pertanian,999.0,Agricultural Industrial Technology
sekolah tinggi ilmu administrasi maulana yusuf banten,administrasi publik,999.0,Public Administration
universitas wahid hasyim,ilmu hubungan internasional,999.0,International Relations
universitas wahid hasyim,ilmu politik,999.0,Political Science
politeknik kelautan dan perikanan bitung,mekanisasi perikanan,999.0,fisheries mechanization
universitas siber muhammadiyah,pjj hukum,999.0,PJJ Law
akademi pertanian yogyakarta,budidaya tanaman pangan,999.0,food crop cultivation
universitas negeri malang,ilmu komunikasi,22.0,Communication Studies
universitas muhammadiyah karanganyar,ilmu komunikasi,999.0,Communication Studies
institut teknologi dan sains padang lawas utara,agroteknologi,999.0,agrotechnology
universitas nasional,agroteknologi,999.0,agrotechnology
universitas simalungun,kehutanan,999.0,forestry
universitas muhammadiyah aceh,agribisnis,999.0,agribusiness
universitas iba,agribisnis,999.0,agribusiness
sekolah tinggi ilmu administrasi lppn,administrasi publik,999.0,Public Administration
universitas kalbis,ilmu komunikasi,999.0,Communication Studies
institut agama kristen negeri toraja,misiologi,999.0,inion
universitas cendekia mitra indonesia,desain komunikasi visual,999.0,visual communication design
universitas karya husada semarang,hukum,999.0,law
universitas muhammadiyah karanganyar,peternakan,999.0,farm
institut bisnis dan teknologi indonesia,desain komunikasi visual,999.0,visual communication design
universitas muslim buton,peradilan pidana,999.0,criminal justice
universitas muslim buton,administrasi pemerintahan daerah,999.0,Regional Government Administration
politeknik negeri bali,perhotelan,999.0,hospitality
sekolah tinggi agama islam azzain sampang,ilmu alquran dan tafsir,999.0,Quranic science and interpretation
stai maarif kendal ngawi,muamalah,999.0,Muamalah
institut seni budaya indonesia bandung,seni karawitan,999.0,Karawitan art
institut agama islam negeri madura,ilmu hadis,999.0,Hadith science
iain manado,hukum keluarga,999.0,Family law
institut agama islam latifah mubarokiyah suryalaya tasikmalaya,hukum ekonomi syariah,999.0,Islamic economic law
universitas islam negeri sayyid ali rahmatullah tulungagung,hukum keluarga islam,999.0,Islamic family law
institut ilmu sosial dan bisnis andi sapada,ilmu hukum,999.0,Legal studies
